id	type	caption	action	parent
1	master	Administrator		0
264	master	SETUP	null	0
269	master	Keuangan	null	0
271	master	Pengadaan	null	0
272	master	Kebun	null	0
273	master	Pabrik	null	0
495	master	Traksi	null	0
274	master	Pemasaran	null	0
275	master	SDM	null	0
771	master	ANGGARAN	null	0
553	master	Umum	null	0
476	master	PAD/GIS	null	0
630	master	GUDANG LAPORAN	null	0
180	master	My Account	null	0
916	master	HELP	null	0
949	master	IT	null	0
13	parent	Menu Manager		1
14	parent	Users Settings	Action...	1
16	list	Organization Chart	main_orgChart	1
266	list	Language Settings	main_languageSettings	1
487	list	N.P.W.P Perusahaan	setup_org_npwp	1
971	parent	Tools	tool_admin	1
1048	list	Reset HM/KM	tool_resethmkm	1
1144	list	User Activity Log	main_user_activity.php	1
18	list	Menu Manager		13
19	list			13
20	list	Menu Settings	main_menuSettings	13
21	list	User Privilege	main_userPrivillages	13
967	list	Privileges by Table	main_privilage_by_table	13
851	list	Copy Privileges	main_copy_privileges	13
22	list	Parent-Child Menu Arranger	main_parentChild	13
515	list	Detail Akses	main_detailakses	13
1143	list	Admin List	admin_list	13
49	list	User Settings:		14
50	list			14
51	list	Add New User	main_newUser	14
52	list	Active/Deactive/Delete User	main_activeUser	14
53	list	Reset Password	main_resetPassword	14
181	list	Change Password	main_changePassword	180
210	list	Show Home	master	180
363	list	Periode Akuntansi	setup_periodeakuntansi	264
376	list	Mata Uang dan Kurs	setup_mtuang	264
472	list	Blok	setup_blok	264
473	list	Kegiatan	setup_kegiatan	264
486	list	Kelompok Kegiatan	setup_klpkegiatan	264
489	list	Satuan Barang	setup_satuan	264
691	list	Jenis Bibit	setup_jenisBibit	264
718	list	Parameter Aplikasi	setup_parameterappl	264
727	list	IP Timbangan	setup_remoteTimbangan	264
730	list	Posting	setup_posting	264
737	list	Pindah Lokasi Tugas	setup_pindahLokasiTugas	264
934	list	Approval	setup_approval	264
323	parent	Transaksi	null	269
324	parent	Laporan	Laporan	269
325	parent	Proses	Proses	269
327	parent	Setup	Setup	269
329	parent	Transaksi	null	271
332	parent	Laporan	null	271
333	parent	Proses	null	271
335	parent	Setup	null	271
338	parent	Transaksi	null	272
339	parent	Laporan	null	272
340	parent	Proses	null	272
342	parent	Setup	null	272
344	parent	Transaksi	null	273
345	parent	Laporan	null	273
346	parent	Proses	null	273
348	parent	Setup	null	273
349	parent	Transaksi	null	274
350	parent	Laporan	null	274
353	parent	Setup	null	274
354	parent	Transaksi	null	275
355	parent	Laporan	null	275
356	parent	Proses	null	275
358	parent	Setup	null	275
277	list	Jurnal	keu_jurnal	323
278	list	Kas Bank	keu_kasbank	323
279	list	Penagihan	keu_penagihan	323
280	list	Tagihan	keu_tagihan	323
1091	list	Unpost Tagihan	keu_tagihan_unpost	323
551	list	Daftar Asset	sdm_daftarAsset	323
974	list	Jurnal Adjustment Audit	keu_jurnal_audit	323
988	list	Alokasi IDC dan Biaya Umum	keu_2alokasiIDC	323
1190	list	Pengakuan Penjualan	keu_pengakuanjual	323
1255	list	Invoice Non Kontrak	keu_invoice_nonkontrak	323
1296	list	Invoice Komoditi	keu_invoice_komoditi	323
365	list	Jurnal	keu_2jurnal	324
366	list	Neraca Saldo	keu_2bukubesar	324
769	list	Buku Besar	keu_2bukubesar_v1	324
768	list	Laporan Hutang/Piutang	keu_laporan_jurnal_piutang_staff	324
729	list	Kas Harian	keu_2kasHarian	324
628	list	Aging Schedule AP	keu_2agingSchedule	324
754	list	Daftar Alokasi Gaji	sdm_2alokasigaji	324
756	list	Penerimaan Alokasi Traksi	keu_2penerimaanAlokasiTraksi	324
725	list	Summary Jurnal Memorial	keu_2summaryJMemorial	324
724	list	Arus Kas Langsung	keu_2arusKasLangsung	324
842	list	Daftar Aset	keu_2laporan_asset	324
846	list	Daftar Hutang	keu_2daftarhutang	324
854	list	Daftar Perkiraan	keu_2daftarPerkiraan	324
856	list	Neraca Periodik	keu_2laporan_neracaPeriodeik	324
857	list	Catatan Neraca	keu_2catatanNeraca	324
871	list	Periksa Jurnal	keu_2periksaJurnal	324
930	list	Periode Akuntansi	keu_2periodeAkuntansi	324
962	list	Debit/Kredit Note	keu_2debitNote	324
964	list	Tax Planning	keu_2taxplan	324
973	list	Neraca Saldo By Unit	keu_neraca_per_unit	324
999	parent	Laporan Keuangan	null	324
1071	list	Buku Besar Hutang	keu_2bukubesar_hutang_v1	324
1294	list	Laporan Uang Muka	keu_lap_UM	324
1295	list	Aging Schedule AR	keu_lap_agingar	324
1298	list	Laporan Invoice Komoditi	keu_lap_invkomoditi	324
371	list	Proses Akhir Bulan	keu_3posting	325
977	list	Alokasi Biaya HO/RO ke Kebun	keu_3alokasiByRo	325
377	list	Tutup Buku Bulanan	keu_3tutupbulan	325
979	list	Pengakuan Saldo Akhir Audited	keu_3tutupBukuAudit	325
1075	list	Tutup Buku HO	keu_3tutupbulan_unittenggala	325
372	list	Daftar Perkiraan	keu_5daftarperkiraan	327
373	list	Kelompok Jurnal	keu_5kelompokjurnal	327
374	list	Mesin Laporan	keu_5mesinlaporan	327
375	list	Parameter Jurnal	keu_5paramjurnal	327
475	list	Komponen Biaya	keu_5komponenbiaya	327
548	list	Tipe Aset	sdm_5tipeAset	327
749	list	Akun Intra/Interco	keu_5intraco	327
994	list	Akun Bank	keu_5akunbankv2	327
1020	list	Mapping Potongan Gaji Karyawan	keu_5pengakuanpotongan	327
1137	list	Sub Tipe Asset	sdm_5subtipeasset	327
1200	list	Faktur Pajak	keu_faktur	327
282	list	Permintaan Pembelian	log_pp	329
519	list	Persetujuan Permintaan Pembelian	log_persetuuanPp	329
517	parent	Purchasing	null	329
888	parent	Pengiriman Internal	Action...	329
471	parent	Administrasi Gudang	null	329
288	list	Kontrak Perintah Kerja	log_spk	329
289	list	BA Pelaksanaan Pekerjaan	log_realisasispk	329
1270	list	Inventaris Barang	log_invbarang	329
380	list	Persediaan Fisik	log_2persediaanFisik	332
527	list	Persediaan Fisik dan Harga	log_2persediaanFisikHarga	332
381	list	Keluar / Masuk Persediaan	log_2keluarmasukbrg	332
629	list	Riwayat Permintaan Barang	log_2riwayat_baru	332
747	list	Daftar PO	log_2daftarPo	332
382	list	Alokasi Biaya Pembelian	log_2alokasibiaya	332
1184	list	Alokasi Pemakaian Barang	log_2pemakaianbarang	332
512	list	Daftar Gudang	log_5daftarGudang	332
938	parent	Purchasing	null	332
752	list	Hutang Berdasarkan BPB	log_2hutangsupplier	332
753	list	Laporan Alokasi Pemakaian Barang	log_2alokasi_pemakaiBrg	332
757	list	Penerimaan-Pengeluaran/Barang	log_2transaksigudang	332
789	list	Daftar Penerimaan Barang	log_2penerimaan	332
911	list	Mutasi Stock	log_2kalkulasi_stock	332
913	list	Realisasi PK	log_laporanRealisasiSPK	332
920	list	Summary Progress PK	summary_progress_spk	332
1055	list	Gudang Vs Accounting	log_2gdangAccounting	332
1077	list	PO yang dibatalkan	log_2daftarPo_batal.php	332
1097	list	Daftar Barang	log_2daftarbarang	332
1138	list	Penerimaan Barang Inventaris	log_2pengeluaranBarangInventaris	332
1148	list	Reminder Stok	log_2rb	332
1211	list	Daftar Supplier	log_2skc	332
1285	list	Daftar SPK	log_lap_spk	332
1214	list	1. Integrity Check BKM (Sblm tutup buku)	log_3integrity	333
788	list	2. Rekalkulasi Stock	log_3rekalkulasi_stock	333
525	list	3. Tutup Buku Fisik	log_pindahPeriodeGudang	333
392	list	Kelompok Barang	log_5kelompokbarang	335
1188	list	Sub Kelompok Barang	log_5subkelompokbarang	335
394	list	Master Barang	log_5masterbarang	335
393	list	Konversi Satuan	log_5satuankonversi	335
395	list	Kelompok Supplier	log_5kelompoksupplier	335
396	list	Data Supplier/Kontraktor	log_5dataSupplier	335
490	list	Rek.Bank Supplier/Kontraktor	log_5akunSupplier	335
739	list	Master Franco	log_5masterfranco	335
1089	list	Adjustment Stock Opname	log_5stocOpname	335
1096	list	Kartu Bin	log_5kartubin	335
1141	list	Syarat Bayar	log_5syaratbayar	335
293	list	Pembukaan Lahan	kebun_bukalahan	338
294	list	Pembibitan	kebun_pembibitan	338
295	list	Pemeliharaan TBM	kebun_pemeliharaantbm	338
